library,P1L1,P2L1,P1H1,P2H1,P3L1,P3H1,P1L2,P2L2,P1H2,P2H2,P3L2,P3H2
OG0000000:,0,100.34,0,54,149.15,421.93,1,5964.46,0,62.97,4,9836.82
OG0000001:,666.02,806.14,1275.01,777.08,1205.26,1873.19,8980.75,8601.72,2789.43,8967.41,8384.28,8610.65
OG0000002:,4,28.65,25.77,17.54,99.39,214.15,19.26,4690.69,59.06,25.63,10,245.38
OG0000003:,2676.2,4415.33,3709.5,3902.06,4563.51,3623.16,5139.94,8162.05,1633.22,6421.27,2761.46,4672.11
OG0000004:,34,155.99,63,22,75,2344.92,93,45.91,3,19,4,11
OG0000005:,0,17,12,11,151,192.93,8,4350.8,1,30,4,128.75
OG0000006:,0,33.01,8,6,46,91.61,4,2725.58,2,4.02,5,89.99
OG0000007:,7,26,19,16,57.01,134,34,3999.04,2,35,0,78
OG0000008:,4951.77,6915.15,11256.3,1785.58,11756.56,8977.14,15234.47,23156.73,5006.88,18311.95,15604.11,9663.67
OG0000009:,1069.09,806.97,1731.41,3111.03,1898.79,2625.94,4919.34,17298.15,1709.93,6518.83,2993.08,3748.14
OG0000010:,3,29,18,22,132.01,173,33,3414.2,10,25,11,151.99
OG0000011:,354.49,254.02,501.62,485.75,517.36,519.94,1487.39,1529.26,741.61,2046.4,1490.6,1556.92
OG0000012:,0,13,1,7,47,53.81,3,235,2,6,2,19
OG0000013:,6,104.68,54.51,22,228.24,564.09,407.15,922.52,127.36,36.4,24.99,625.43
OG0000014:,8023.11,15524.08,14957.75,7231.99,13852.84,14974.1,28228.13,32690.12,7896.56,34041.09,17104.55,24173.89
OG0000015:,407.69,821.59,850.42,667.9,521.23,1088.99,5191.39,6078.86,2027.44,6443.51,5476.98,4498.43
OG0000016:,1,22,15.01,30.99,94.79,291.93,33,3628.02,25.37,39.39,2,271.59
OG0000017:,1236.24,1161.65,3060.31,1247.33,2302.34,2926.4,12094.12,11601.85,4356.23,14737.63,13452.43,10445.37
OG0000018:,46.26,7,33.26,10.54,221.84,148.44,191.39,368.86,27,128.5,64.63,135.22
OG0000019:,268.41,387.49,502.54,326.93,426.67,643.14,1873.17,2114.68,853.38,1781.35,1170.03,2048.95
OG0000020:,629.25,421.39,1087.85,462.9,1334.78,808.76,5296.19,6022.64,1424.48,5417.19,3138.29,4156.4
OG0000021:,754.97,450.33,591.02,203.17,660.89,736.25,535.97,1486.61,115.14,750.95,674.03,680.29
OG0000022:,3,5,31.36,8,56.01,150.59,3,3128.48,60.07,15,0,75.01
OG0000023:,2219.49,3574.81,4781.22,1355.15,3530.99,4252.74,5453.86,4659.04,1494.57,4729.61,4789.96,3789.86
OG0000024:,306.58,394.66,1612.5,180.97,659.38,1956.29,643.2,770.58,390.93,365.75,996.21,845.44
OG0000025:,2,26,3,25,50,499.99,5,1897.87,0,33.73,1,3203.15
OG0000026:,6.56,57.38,156.38,26.91,1114.24,385.84,397.52,3284.34,184.94,34.17,3,462.1
OG0000027:,9.45,25.81,51.47,8.04,126.24,425.27,33.58,5966.98,259.39,54.6,6,146.92
OG0000028:,1343.74,702.04,3236.49,937.48,1814.09,2954.02,21163.07,18744.13,4603.07,23523.46,17244.92,15632.3
OG0000029:,6038.46,17630.36,14655.16,4609.22,16558.88,16082.98,2921.61,4026.3,482.33,4752.76,2516.64,4175
OG0000030:,96.01,127.27,209.51,99.99,244.38,249.22,1626.62,1469.66,684.27,2382.12,905.5,898.12
OG0000031:,1905.03,4384,4242.54,2865.72,4831.02,4483.99,10846.72,16287.52,3797.08,8763.99,4821,7262.32
OG0000032:,353.54,1248.56,974.9,409,543.99,694,1686.64,1664.06,753,1758.78,1011.98,494.99
OG0000033:,32.36,214.03,165.81,113.3,72.04,123.92,1026.25,1542.39,555.15,1578.38,1631.44,1362.29
OG0000034:,245.45,505.71,942.16,3418.9,405.35,475.11,1598.36,1694.24,4262.41,1297.95,1012.88,1072.9
OG0000035:,195.64,190.93,99.27,101.93,204.16,139.75,908.96,873.18,218.28,588.46,626.2,508.01
OG0000036:,1830.59,5084.44,3891.85,2920.4,3397.14,3747.87,5060.93,5098.03,3858.99,5613.89,3058.58,4259.68
OG0000037:,0,9,1,8,33.17,100.57,3.7,1193.85,41.34,11,3,67.34
OG0000038:,160.95,1515.83,929.36,689.87,530.81,904.78,3175.71,2378.41,1267.08,2622.75,2133.7,2343.02
OG0000039:,46854.79,33583.78,67817,11941.7,56489.53,49750.93,120658.88,97952.1,35461.36,97733.55,93745.15,89408.79
OG0000040:,0,8,0,10,17.93,50,6,1299.52,0,5,2,38.01
OG0000041:,0,3,7,2,54.92,61,1,2030.24,12.88,12,0,134
OG0000042:,5372.32,5528.8,15446.7,2362.43,12759.04,13319.91,34500.74,27972.31,9660,35311.05,24308.28,28878.63
OG0000043:,7,68.34,248.7,70.91,1895.67,384.4,109.59,1335.76,515.79,33.05,1.11,442.1
OG0000044:,533.86,750.71,1166.98,465.74,1794.38,1347.43,1507.5,2344.44,488.91,1402.53,1009.24,993.07
OG0000045:,3,6,20,2,10,31,16,203,3,3,0,21
OG0000046:,1155.04,1119.46,2151.01,1091.78,1688.78,1868.78,5091.44,5694.64,1544.43,5762.13,3320.19,3840.78
OG0000047:,100.12,211.93,249.83,151.55,285.43,230.02,1453.59,1387.72,506.92,1049.02,1246.85,867.38
OG0000048:,148.1,399.67,429.96,333.41,292.72,693.13,1785.41,2093.08,682.34,2534.46,1308.12,1494.48
OG0000049:,421.01,915.54,706.03,750.89,507,839.06,2152.16,3228.71,1361.81,2558.99,1853.71,2043.63
OG0000050:,1047.88,4038.75,1535.2,918.87,2775.08,1917.26,3038.72,2371.32,697.86,2785.27,1710.7,1793.07
OG0000051:,255.85,900.59,1728.29,322.19,1070.75,696.99,464.73,1118.07,610.02,1925.23,1348.88,508
OG0000052:,2096.62,4250.65,5229.5,2522.3,5239.04,4862.86,7386.54,7849.89,2683.04,6955.32,4152.46,5237.32
OG0000053:,19.94,87.4,109.24,73.28,72.42,116.38,532.97,651.67,264.53,823.67,517.91,505.17
OG0000054:,4524.17,3458.78,8819.05,2415.53,12539.7,7525.33,9069.49,9050.62,2577.72,11002.42,5600.81,9236.94
OG0000055:,291.39,79.1,548.1,167.4,90.88,1021.63,419.86,32.34,84.92,114.47,60.35,24.87
OG0000056:,84.44,162.56,228.48,69.4,561.5,471.27,794.94,3878.27,343.75,388.25,455.72,2006.27
OG0000057:,92.94,529.2,77.3,87.67,28.51,59.89,27.57,406.7,4,9.46,3.44,8.66
OG0000058:,14679.58,10133.19,31054.18,9512.01,28840.08,25915.79,121790.43,104274.29,43117.95,121662.87,85648.15,76912.35
OG0000059:,118.9,79.2,251.37,162.85,211.33,272.56,1296.58,2190.21,482.8,790.32,377.51,2070.97
OG0000060:,10276.61,7711.72,24164.68,6234.94,33000.21,21944.82,74808.2,111388.94,28112.4,75510.57,54398.59,56610.1
OG0000061:,2038.64,1417.34,1034.63,317.49,2532.71,2574.91,1242.41,1868.37,427.83,776.45,2815.94,1016.12
OG0000062:,138.18,180.82,372.8,161.01,277.74,488.68,2845.54,2703.87,968.55,2316.88,2301.06,1991.16
OG0000063:,288.56,638.16,970.25,426.44,537.16,1076.83,1392.89,1970.16,595.26,1531.06,1269.29,1409.28
OG0000064:,175.29,53,185,150,106,519,637.54,611.52,291,478.02,792.94,654.01
OG0000065:,1942.6,2750.72,3599.67,2303.76,4175.81,3612.67,6028.41,6209.54,2606.45,6575.12,3929.62,4450.22
OG0000066:,0,11,2,25,50,58,2,625.05,0,19,0,2124.54
OG0000067:,827.95,857.02,1243.99,750.99,1881.81,816,2547.84,2220.9,1535.52,2465.79,1628.99,1923.82
OG0000068:,999.44,1054.31,687.25,335.88,874,661.95,1232.49,3020.57,343.72,1391.28,678.78,1600.28
OG0000069:,1273.23,1554.86,2460.08,769.39,2460.76,2133.1,5433.45,7337.2,1258.43,5467.73,7976.55,3723.37
OG0000070:,4648.8,10832.34,8737.39,10137.29,5416.37,6647.36,20689.49,17563.77,17834.29,14848.96,15832.32,19606.92
OG0000071:,743.45,595.95,1362.89,245.08,931.38,1022.18,1626.12,1620.28,1023.01,4747.48,3620.2,1528.94
OG0000072:,1,4,2,3,24,83,2,1318.43,0,9,1,46.99
OG0000073:,107,345.59,324,169,213.99,565.99,1184.99,2049.18,426.61,2313.05,1859.05,1912.9
OG0000074:,5,9,11.01,10,13.03,37.29,2,1069.17,4,11,5,53.64
OG0000075:,7,33.91,31.49,23,204.97,316.81,119.11,3534.39,139.56,17.58,6.83,944.45
OG0000076:,53,80.18,250,109.02,201,295.61,1236.12,1167.24,535.14,693.78,1291.43,979.28
OG0000077:,2947.66,3935.75,6325.99,3660.57,5427.62,7315.27,6694.38,11165.26,2036.12,5590.82,2001.61,1962.79
OG0000078:,611.86,1309.39,983.29,884.1,1046.91,1266.64,1874.18,2727.53,1039.74,2068.25,1404.77,2003.12
OG0000079:,342.72,294.99,402.43,213.07,567.46,475.07,1070.14,1049.83,410.26,811.73,1417.23,492.65
OG0000080:,147.11,335.63,698.8,315.86,371.91,549.75,3426.4,4774.93,1322.57,3504.12,1647.12,2580.53
OG0000081:,610.17,1907.19,2138.95,633.39,1730.12,2083.38,1244.87,1700.83,822.54,2062.64,1543.36,1449.55
OG0000082:,21359.24,30388.43,42462.43,20194.56,52071.6,40159.98,63702.31,81803.97,17727.9,65928.21,22862.1,46297.37
OG0000083:,357,462.01,686.57,331.99,140,543.96,1423.8,1715.59,714.5,1320.04,477,844
OG0000084:,558.72,2380.82,1089.05,644.78,1120.24,1208.75,1523.04,1684.94,484.43,1601.18,526.7,1242.88
OG0000085:,264.39,430.69,1576.52,750.99,677.96,307.87,1667.38,972.03,1451.4,1067.6,167.9,929.19
OG0000086:,65.51,72.93,286.7,113.85,151,266.52,785.97,828.47,568.85,799.61,654.44,640
OG0000087:,878.35,1686.47,2458.44,1275.63,1998.88,1589.07,2822.42,2870.26,1130.8,2787.09,1698.34,2196.75
OG0000088:,114.17,368.11,391.31,268.63,324.03,414.21,3444.84,2793.89,1417.76,3976.85,2456.71,2716.87
OG0000089:,6,96.11,25.58,27.94,328.19,652.11,77.18,11061.54,4,78.99,11,281.94
OG0000090:,2,28,1,17,64,909.99,2,1496.96,11,17,4,2273.62
OG0000091:,5,9,18,5,162.01,93.99,17.99,2034.85,0.98,4,4,46.01
OG0000092:,7,47.99,11.02,4,71.99,140.01,34.99,3739.18,5,19,7,164.01
OG0000093:,5,62,44,7,420,262.76,68.32,7179.03,65.63,65.01,7,875.4
OG0000094:,112.42,2841.91,500.07,356.84,2544.45,3556.1,743.9,6807.38,2066.97,162.39,32.26,3397.58
OG0000095:,218,402.79,486.36,264.81,453.49,447.23,1317.56,1871.7,494,1918.77,1278.11,1490.51
OG0000096:,49.49,58.37,188.24,116.78,243.74,527.35,4000.01,3408.61,157.06,7667,1324.13,598.9
OG0000097:,7,54.53,45.99,12,112.97,231.22,62.52,3525.52,81.58,19.04,6.99,296.45
OG0000098:,999.86,1911.3,2012.88,949.99,2412.02,1969.31,5100.1,7577.97,1880.98,5769.82,3883.78,5274.22
OG0000099:,313.35,277.5,689.02,293.69,909.41,676.71,3433.28,3384.56,784.49,2852.43,1631.44,2697.5
OG0000100:,2,24.99,2,2,37,56.06,4,2663.16,0,4,0,93.01
OG0000101:,258.14,377.99,522.76,283.07,339,809.13,2441.43,2981.75,3385.72,2821.32,1947.66,1537.95
OG0000102:,63.02,146.02,224.25,105.73,105.99,353.2,1101.89,1210.09,309,916.87,1137.49,1197.97
OG0000103:,3,44,12,9,20.82,90,10,504.23,9.94,3,0,26
OG0000104:,16,4,56,12.01,48,101.99,156,76,3,13,5,115.78
OG0000105:,90.92,2107.94,385.38,12337.17,123.99,320.99,234.4,85,16227.77,114.27,55.99,39.02
OG0000106:,0,12,12,10.97,76,97.71,10,2472.64,1,17,2,124.01
OG0000107:,639.57,1059.33,2077.4,611.46,1562.22,3057.93,15741.63,19575.35,4092.61,18132.87,15879.13,16615.95
OG0000108:,91.09,272.76,293.19,297.85,259.31,318.1,1741.11,1181.51,309.78,1599.93,1300.28,2328.3
OG0000109:,135.8,145.01,205.79,616.06,191.01,317,644.7,1283.54,172.02,870.36,252.01,726.04
OG0000110:,356.46,1952.95,1503.3,271.65,1166.88,1666.25,2933.16,2637.51,1303.39,4984.7,2808.35,1467.59
OG0000111:,14,11,22.55,9.21,29.86,180.89,24,1869.05,9,14,2.01,28.19
OG0000112:,817.8,891.1,2096.76,622.04,1247.27,2377.32,4887.01,4309.04,623,4596.43,1802.24,2966.13
OG0000113:,1242.09,3719.89,2310.99,1958.96,1660.14,3133.5,3572.23,3669.38,1747.08,3486.25,2302.31,2949.41
OG0000114:,5492.18,924.15,3170.98,941.01,614.61,1698,2347.97,952.34,128,199.34,1735.36,214
OG0000115:,230.47,260.65,643.81,245.08,505.33,1232.26,4563.57,3359.24,1484.61,7656.04,7096.14,2327.29
OG0000116:,264.85,352.45,719.6,435.64,456.21,590.61,1689.13,1902.17,579.1,2169.66,1549.83,1642.3
OG0000117:,195.1,299.46,397.91,197.59,565.63,561.66,2515.94,2805.02,584.29,2138.01,1087.62,1155.76
OG0000118:,241.03,190.25,446.82,187.93,258.49,582.81,1622.05,3178.85,801.76,2421.4,878.7,1318.79
OG0000119:,44.42,742.36,260.33,78.13,265.4,637.61,2008.52,1851.98,940.84,1055.52,1086.74,1521.83
OG0000120:,582.25,774.64,1322.5,438.47,1937.61,914.38,2974.73,3623.62,1260.82,4221.65,3030.44,2731.52
OG0000121:,217.99,386.9,655.76,253.23,404.63,401.32,694.35,4197.82,640.79,2178.29,886.25,591.83
OG0000122:,1,11,14,0,16,26,7,388,0,17,0,838.6
OG0000123:,408.93,1152.97,771.73,553.24,651.99,665.02,2411.58,1662.71,1539.05,2771.01,1615.53,1273.07
OG0000124:,170,323.59,447.06,196.17,414.2,532.84,1337.07,1517.98,587.39,2893.2,1438.5,818.1
OG0000125:,142.36,1058.36,496.46,473.31,248.21,310.38,1324.18,1693.12,854.56,1728.28,541.52,741.92
OG0000126:,1559.35,11219.71,2714.4,6187.03,2534.24,3247.97,3488.18,2820.59,5749.65,3173.49,1677.23,1920.72
OG0000127:,0,4.01,0,6,12,46.01,2,121,0,16,1,46.03
OG0000128:,454.33,520.82,1247.26,290.06,724.64,1340.69,7468.58,9984.9,2990.12,10248.27,9589.99,8671.63
OG0000129:,2863.9,7936.41,7348.56,4939.05,3506.95,2569.89,6558.75,5456.17,1866.18,5971.63,7472.59,2613.37
OG0000130:,32.86,353.43,89.03,32.64,619.49,443.29,175,2677.47,299.95,45.38,15,339.68
OG0000131:,29589.91,60731.35,91996.61,29726.26,62572.55,71261.31,81387.51,69871.94,38711.18,99880.84,77360.72,70045.97
OG0000132:,285.61,449.58,549.36,205.91,836.14,350.62,1303.32,1713.69,249.75,969.83,951.01,734.62
OG0000133:,2379.97,3852.99,4807.16,2950.02,4577.41,4957.13,11965.19,8455.53,3254.39,11501.27,6145.43,5723.92
OG0000134:,0,14.99,1,3,41.16,106.45,2,1151.19,3,35,8,2678.78
OG0000135:,499.68,332.95,2252.06,375.41,1785.8,2109.98,2303.68,1540.4,1634.24,2574.66,8277.9,1945.37
OG0000136:,219.98,220.9,339.63,263.41,632.74,364.29,1645.6,1402.42,339.83,1427.05,771.68,633.66
OG0000137:,297.34,223.43,851.31,271.88,717.04,823.57,3204.18,3713.37,1946.53,3661.34,2750.51,2990.89
OG0000138:,42.83,280.47,280.59,91.53,629.63,1353.39,274.55,15992.51,61.1,384.37,47.18,753.43
OG0000139:,98.99,40,187.96,137.99,275,76.01,1566,573.95,70.93,476.24,245,815.06
OG0000140:,161.01,260.01,501.98,268.8,352.28,642.76,924.01,1255.58,579.04,1282,1195.5,1175.29
OG0000141:,0,21.73,7.04,12.03,34.72,61.73,5.17,148.8,0,10,0,14.59
OG0000142:,3,6,24,2,18,30,23,68,0,3,1,135
OG0000143:,3.5,60.28,12.31,32.59,81.2,748.79,1,29.03,0.99,18.14,10,23.07
OG0000144:,6,12,10,2,6,28,23,8,5,5,0,10
OG0000145:,377.74,642.35,901.63,349.47,946.43,924.32,3024.28,3322.15,1097.39,3197.16,1692.88,1994.24
OG0000146:,0,8.16,2,1,28.86,46.11,5,1477.9,0,5,4,56.99
OG0000147:,39.75,266.47,220.69,96.83,345.74,619.57,559.5,3639.21,907.3,324.67,330.44,781.29
OG0000148:,380.73,716.76,1172.65,809.61,1271.43,1275.05,3588.64,4876.93,1934.38,4670.79,2946.95,3398.07
OG0000149:,2377.05,3339.91,5440.41,846.13,3407.07,5268.07,5832.25,7325.17,1509.45,6271.64,8382.88,3997.76
OG0000150:,63,747.85,148.47,3327.61,288,269,43.99,64.99,1082.98,17,25.99,65
OG0000151:,2901.9,1863.08,4526.48,986.67,2673.6,5488.03,5163.15,7763.05,1972.41,2366.54,13640.43,7171.21
OG0000152:,259.11,14.49,149.75,32.54,86.07,207.56,546.07,77.99,118.83,1412.69,292.14,346.25
OG0000153:,609.14,1728.62,1584.94,778.71,1081.84,1911.73,2461.01,1636.01,1359.77,2314.72,1358.01,2409
OG0000154:,8794.53,12667.35,16832.54,9361.58,17569.71,13538.98,29535.85,32260.14,12250.05,34422.74,20489.48,24600.37
OG0000155:,1768.96,2024.56,2108.95,443.73,3182.62,1851.94,5750.42,3707.61,1500.44,4781.94,4109.7,4762.84
OG0000156:,36,41.01,32,31.76,4335.82,113,83.05,65.11,9.67,80.12,29,60.41
OG0000157:,207.8,367.92,912.81,391.81,704.76,1155.53,1233.05,2349.64,581.43,1299.93,1202.51,1033.94
OG0000158:,426.01,419.31,985.14,534,920.24,1301.06,8097.06,7579.53,2648.79,7379.94,6629.2,6404.36
OG0000159:,2845.89,1595.77,4045.54,631.18,2928.7,4192.03,24829.07,13951.12,9171.07,21112.14,17794.32,19450.01
OG0000160:,265.88,2881.94,324.81,850.48,1158.98,1571.93,237.52,312.25,75.92,546.35,101.77,273.59
OG0000161:,1,74.8,49.51,11.53,191.45,212.61,159.84,2109.33,145.61,145.53,107.35,1022.15
OG0000162:,35.61,15.62,76.37,4,79.92,142.54,343.87,108.13,41,18,160.06,155.2
OG0000163:,207.9,956.32,1839.54,301.08,546.97,1224.77,609.39,1224.58,332.13,917.94,669.88,925.57
OG0000164:,0,10,15,4,7,90,6,927.32,2,3,0,12
OG0000165:,0,2,2,0,28,9,6,446.97,0,10,0,13
OG0000166:,0,4,6,0,14,45,9,510.12,2,3,0,26
OG0000167:,372.13,943.94,696,951.27,503.01,1032.49,977.01,1293.08,451.99,1223.53,197.01,812.95
OG0000168:,56.79,49.07,221.86,148.64,201.56,301.35,1318.4,1414.21,402.52,1280.39,790.12,666.62
OG0000169:,2,11,27,9.02,64.56,159.53,18,3170.04,5,16,0,72
OG0000170:,46.55,303.81,321.23,101.23,2719.17,959.89,457.34,6579.03,453.59,132.18,49.11,428.17
OG0000171:,25,207.11,108.25,133.63,135.88,153.94,884.95,1635.66,627.47,1095.27,781.95,824.45
OG0000172:,161.26,516.95,280.18,407.22,385.15,323.64,481.86,596.2,116.91,612.78,321.65,361.62
OG0000173:,3,182.52,57.77,6,310.02,271.54,23.45,1017.03,53,16,0,126
OG0000174:,7,54,45,14,106.17,151.66,478,48.17,72,14.01,106.8,150.7
OG0000175:,1363.03,1011.1,2730.15,566.02,2302.2,1940.86,4804.87,4107.42,755,4478.1,3704.14,3728.93
OG0000176:,0,4,0,9,13,32,0,163,2,4,0,21
OG0000177:,200.66,351.03,518.57,363.47,763.84,522.32,1630.64,1513.91,760.87,2433.09,930.41,1379.11
OG0000178:,186.24,381.84,589.91,246.92,394.85,416.51,2218.01,3574.94,1123.54,2879.85,3118.96,1780.14
OG0000179:,48.08,159,224.84,214.99,55.99,222.34,1176.76,1563.88,731,1638.28,1104.56,891.86
OG0000180:,465.91,378.27,638.91,280.01,593.01,664.49,4662.01,5699.1,1131.86,4659.08,4789.14,4249.08
OG0000181:,2171.84,7942.49,5149.39,1908.59,4547.59,4884.84,2468.47,4432.65,956.62,2906.24,1833.43,2688.27
OG0000182:,9.97,256,201.56,75.15,105.01,104.41,1172.13,352.29,262.01,700.87,426.66,214
OG0000183:,4.75,14.55,15,3.99,172.89,61.87,6.22,236.3,20.77,6,64,147.57
OG0000184:,1151.79,1916.92,2862.3,1301.63,1970.9,2558.51,5768.72,5261.39,3832.25,5744.22,5690.11,5886.17
OG0000185:,0,11,11,4,30,24,9,734.99,0.94,5,5,886.02
OG0000186:,214,46.85,135.19,102.82,360.6,229,305.96,372.3,54.99,503.75,100.7,254.25
OG0000187:,5,30.51,70,13,28.99,91.74,617.91,689.57,176.64,6,5,171.78
OG0000188:,4,21.02,32,1,214.03,297.89,27.99,1583.76,20.99,9,0,97.01
OG0000189:,1206.68,2192.55,2488.83,1319.28,2119.09,2232.98,4680.62,4890.66,1708.67,4899.1,2732.07,4222.26
OG0000190:,112.6,201.4,350.42,207.27,208.07,560.19,2779.78,2342.67,604.58,2182.18,2042.04,1979.06
OG0000191:,626.63,1517.9,1239.23,760.36,1138.6,1542.89,3317.07,3989.83,1197.03,3439.64,2190.2,2499.66
OG0000192:,18.99,70.04,70.15,13,199.12,559.88,137.63,9755.73,110.26,46.01,6,532.48
OG0000193:,444.45,887.29,1051.89,585.56,1104.61,1507.11,5983.29,5381.43,978.24,6172.85,3591.61,2605.91
OG0000194:,2,10,19.92,1,141.2,37,16.24,423.38,130.01,7,1,81
OG0000195:,19,121.96,224.1,8.06,47.01,238.01,524.48,98.44,141.33,9.14,190.54,162.78
OG0000196:,152.1,613.13,311.51,143.93,403.64,407.38,1185.36,934.17,733.38,1118.36,595.9,837.93
OG0000197:,2169.54,2116.6,3734.32,1279.91,2926.23,2823.6,4724.21,4656.29,1528.07,4647.61,2123.17,3848.96
OG0000198:,204.23,193.13,317.74,111.28,305.27,506.12,1905.44,2288.99,643.84,1671.49,1162.57,1379.93
OG0000199:,1458.73,1699.44,1932.97,947.74,1765.4,2081.58,4084.67,5568.8,1461.71,4590.28,2643.67,3451.87
OG0000200:,17,16.99,78.04,6,20,54.64,137,11.78,14,7,0,4.99
OG0000201:,55.64,234.11,361.2,237.42,343.4,567.84,1640.07,5476.15,706.69,2273.87,1352.61,2364.27
OG0000202:,87.61,40.08,197.14,116.28,120.87,169.94,1349.02,1102.12,475.7,1303.02,1370.88,485.01
OG0000203:,513.32,876.29,1273.65,869.82,1995.66,1235.8,2269.17,2229.26,1446.44,1928.48,1034.7,1503.05
OG0000204:,10,18,105,27.99,77.99,137,787.01,1237.18,89,1286,470.91,969.02
OG0000205:,104.55,170.81,474.45,142.41,352.21,652.64,2351.04,2513.71,1091.97,2488.26,1788.18,2158.49
OG0000206:,121.4,247.94,389.58,150.17,297.19,536.9,2135.47,2246.2,806.99,2224.9,1513.6,1770.73
OG0000207:,1733.69,4998.28,4512.4,7711.74,5143.29,4995.08,10988.66,14980.26,8288.37,9953.21,6116.43,9669.36
OG0000208:,49.99,308.99,137.07,100.73,165.01,182.75,208.7,2384.36,518.4,1017.75,360.1,405.08
OG0000209:,97.36,96.62,135.34,39.85,551.35,463.13,597.63,1465.14,216.65,336.71,471.03,481.39
OG0000210:,2,76.21,103.94,31,760.61,355.61,159.04,3907.33,270.3,55,13.82,421.59
OG0000211:,3,20,25.95,7,5,81.01,41,8,258.01,8,3,441.04
OG0000212:,1120.01,4510.55,2946.88,4071.96,2631.43,2434.87,5780.8,6777.24,6327.84,6142.08,5663.63,4969.5
OG0000213:,52.01,187.95,52.03,555.98,54.42,128.14,54.88,241.9,14,207.48,58.42,92.01
OG0000214:,7.02,50.65,54.28,24.97,476.8,661.84,78.99,8156.95,24.26,52.23,5,241.34
OG0000215:,1688.95,1901.06,2205.87,1490.28,3753.89,2257.77,3213.01,5906.89,742.99,3235.15,1807.23,3244
OG0000216:,78.03,65.8,199.62,70.31,232.32,183.76,1522.6,1210.58,237.55,997.31,1086,697.34
OG0000217:,0,33.29,1,12.83,53,425.31,4,17,0,21,1,10
OG0000218:,395.31,335.04,911.16,257.57,847.26,1118.61,8854.77,7762.3,2549.33,8786.3,6485.97,8173.45
OG0000219:,0,16,14,2,186.99,65,36,1300.6,0,10,0,27.01
OG0000220:,222.28,321.13,521.06,236.25,558.4,567.56,3145.2,3236.63,1022.11,2863.5,2173.64,2232.8
OG0000221:,2089.15,2428.22,4713.29,1527.96,4777.91,4297.08,9618.08,15468.34,2053.84,12888.45,5071.1,8686.98
OG0000222:,14,544.88,114.01,2774.09,20.4,44.19,144.94,112.6,5576.96,9.07,6.07,27
OG0000223:,12.5,64.3,85.98,23.15,469.45,357.29,169.64,3873.14,1534.9,24.48,11.78,980.25
OG0000224:,17.6,46,36.81,27,161.11,212.71,20.07,6138.89,0,31.99,5,128.02
OG0000225:,3959.68,3281.81,6094.55,2406.23,6389.82,8166.97,26202.82,29495.87,6083.22,23995.94,22244.39,22726.18
OG0000226:,7910.46,17394.13,16110.58,8136,11775.85,13011.05,19222.88,13367.5,6501.92,24439.72,12046.38,19042.55
OG0000227:,133.42,129.98,416.56,125.15,131.38,239.94,757.2,1052.23,172.12,1586.99,510.54,339.84
OG0000228:,619.02,753,1255.01,328.93,795.7,1002.99,1931.25,2016.13,484.66,1930.58,1335,1708.08
OG0000229:,2,71,81.01,36.08,595.7,805.16,50,13629.96,6,70,7,465
OG0000230:,356.43,773.73,1318.93,459.28,968.11,1261.18,9843.57,9282.91,2463.83,8341.4,6475.21,6538.79
OG0000231:,86.88,181.81,85.23,914.32,80.19,296.4,201.28,3409.08,158.27,508.35,205.37,348.06
OG0000232:,16.06,29,60.24,12.7,20,236.87,62.55,16.09,105.02,4,0,4
OG0000233:,38.08,73.03,131.67,91.45,45.01,55.02,462.03,800.34,108.71,551.52,404.14,328.92
OG0000234:,675.39,872.75,1735.9,1133.46,1341.18,2463.39,5907.4,15298.11,3370.69,5913.93,4231.6,5438.24
OG0000235:,119.47,1050.23,370.26,210.37,476.91,402.25,2763.1,1871.47,934.86,2950.52,1096.83,1279.13
OG0000236:,2822.74,650.96,534.12,134.31,841.18,14930.8,14413.74,2196.85,140.29,14311.8,43.94,6214.65
OG0000237:,111.85,455.55,1682.81,555.07,1223.01,362.54,2601.46,3528.02,656.22,3100.77,1008.72,1143
OG0000238:,441.95,932.95,1235.04,715.02,1470.82,1011.65,2535.63,3210.41,1109.21,2417.85,2060.49,3422.98
OG0000239:,16,520.88,63.99,17,96.87,261.85,50.49,18.55,144.68,30,2,539.91
OG0000240:,4,26,5,4,13.99,239,32,1459.63,0,4.92,0,53.06
OG0000241:,129.05,277.54,285.17,448.26,177,130,646.01,629.8,382.99,838.98,341.99,513.28
OG0000242:,362.54,284.48,696.98,217.68,636.37,920.07,3871.58,3595.3,582.19,3413.56,2050.88,2359.63
OG0000243:,49.51,208.99,101.94,96.9,90.33,136.19,503.77,517.38,198.67,684.81,458.8,302.94
OG0000244:,28.89,154.77,578.76,39.13,2688.56,1160.88,175.12,2657,370.21,60.24,2,509.55
OG0000245:,274.07,1042.28,1193.39,455.58,772.72,1106.13,8749.64,10096.14,2504.91,7034.56,5751.17,3978.98
OG0000246:,1592.97,3227.7,3235.8,1567.1,3953.59,3640.42,4694.23,5947.74,1979.82,5449.76,3770.67,3807.92
OG0000247:,1914.66,8076.73,2876.03,3162.66,1076,1872,1821.99,1611.29,943.95,2046.35,1050.99,1781.01
OG0000248:,14,13,54,3,67,44,27.01,106,13.14,16,1,31
OG0000249:,3303.61,15324.62,6278.65,3909.11,4432.01,3788.27,2890.55,3465.65,1695.18,4194.02,2041.71,2780.29
OG0000250:,126.98,107,450.02,161.93,322.33,443.22,3100.61,2852.94,772.99,3169.33,3377.59,2222.59
